prompt_id;prompt_en;prompt_pl;paraphrase_en;paraphrase_pl;category
PRC_005;"Propose a procedure for selecting a software vendor for a small company with limited technical expertise.";"Zaproponuj procedurę wyboru dostawcy oprogramowania dla małej firmy z ograniczonym doświadczeniem technicznym.";"How should a small non technical company choose a software vendor in a careful and structured way?" ;"Jak mała nietechniczna firma powinna w ostrożny i uporządkowany sposób wybrać dostawcę oprogramowania?" ;"proceduralne"
PRC_006;"Create a plan for moving to another apartment over one weekend while reducing stress and mistakes.";"Stwórz plan przeprowadzki do innego mieszkania w jeden weekend z ograniczeniem stresu i pomyłek.";"What is a practical step by step way to organize a one weekend move?" ;"Jaki jest praktyczny krok po kroku sposób zorganizowania przeprowadzki w jeden weekend?" ;"proceduralne"
PRC_007;"Propose a simple process for running a student survey at a university.";"Zaproponuj prosty proces przeprowadzenia ankiety wśród studentów na uczelni.";"How would you organize a basic university survey from design to data collection and review?" ;"Jak zorganizowałbyś podstawowe badanie ankietowe na uczelni od projektu po zbiór danych i przegląd wyników?" ;"proceduralne"
PRC_008;"Create a plan for preparing a group presentation when three people must deliver one shared talk.";"Stwórz plan przygotowania prezentacji grupowej, gdy trzy osoby mają wygłosić jedno wspólne wystąpienie.";"How should three people organize the work on a shared presentation so the final talk feels coherent?" ;"Jak trzy osoby powinny zorganizować pracę nad wspólną prezentacją, aby końcowe wystąpienie było spójne?" ;"proceduralne"
PRC_009;"Propose a procedure for introducing regular feedback in a small team that has never used it before.";"Zaproponuj procedurę wprowadzenia regularnego feedbacku w małym zespole, który wcześniej z niego nie korzystał.";"What steps should a manager follow to build a healthy feedback routine in a team with no prior habit of feedback?" ;"Jakie kroki powinien podjąć manager, aby zbudować zdrową rutynę feedbacku w zespole, który wcześniej jej nie miał?" ;"proceduralne"
PRC_010;"Create a three month language learning plan for a person working full time and having little free time.";"Stwórz trzymiesięczny plan nauki języka dla osoby pracującej na pełen etat i mającej mało wolnego czasu.";"How should a busy full time worker structure a three month plan for learning a foreign language?" ;"Jak zapracowana osoba pracująca na pełen etat powinna ułożyć trzymiesięczny plan nauki języka obcego?" ;"proceduralne"
PRC_011;"Propose a step by step process for cleaning and organizing a messy shared project folder.";"Zaproponuj proces krok po kroku porządkowania nieuporządkowanego współdzielonego folderu projektowego.";"How would you systematically reorganize a chaotic shared folder so a team can use it efficiently again?" ;"Jak systematycznie uporządkowałbyś chaotyczny współdzielony folder, aby zespół mógł znów efektywnie z niego korzystać?" ;"proceduralne"
PRC_012;"Prepare a procedure for testing a new workflow in a team before rolling it out fully.";"Przygotuj procedurę testowania nowego sposobu pracy w zespole przed pełnym wdrożeniem.";"What process should a team use to pilot a new workflow safely before adopting it everywhere?" ;"Jakiego procesu powinien użyć zespół, aby bezpiecznie przetestować nowy workflow przed wdrożeniem go wszędzie?" ;"proceduralne"
PRC_013;"Create a plan for preparing effectively for an oral exam over two weeks.";"Stwórz plan skutecznego przygotowania do egzaminu ustnego w ciągu dwóch tygodni.";"How should someone organize two weeks of study to prepare well for an oral exam?" ;"Jak ktoś powinien zorganizować dwa tygodnie nauki, aby dobrze przygotować się do egzaminu ustnego?" ;"proceduralne"
PRC_014;"Propose a process for choosing the most important metrics for a new dashboard.";"Zaproponuj proces wyboru najważniejszych metryk do nowego dashboardu.";"What steps should be taken to decide which metrics belong on a new dashboard?" ;"Jakie kroki należy wykonać, aby zdecydować, które metryki powinny znaleźć się na nowym dashboardzie?" ;"proceduralne"
PRC_015;"Create a structured plan for writing a thesis chapter when the literature is already collected but not organized.";"Stwórz uporządkowany plan napisania rozdziału pracy dyplomowej, gdy literatura jest już zebrana, ale nieuporządkowana.";"How should a student turn a pile of collected literature into a coherent thesis chapter?" ;"Jak student powinien zamienić stos zebranej literatury w spójny rozdział pracy dyplomowej?" ;"proceduralne"
PRC_016;"Prepare a response procedure for an internal system outage that minimizes confusion and communication failures.";"Przygotuj procedurę reagowania na awarię wewnętrznego systemu, która minimalizuje chaos i błędy komunikacyjne.";"Create a step by step process for handling an internal service outage in an organized way.";"Stwórz krok po kroku proces obsługi awarii wewnętrznej usługi w uporządkowany sposób.";"proceduralne"
