feature,feature_source,what_it_shows,used_for_training,excluded_reason
source_avg_logprob,direct CSV numeric column,"CSV value: average token log probability, if available; confidence/fluency proxy.",False,model-specific zero/NaN pattern
source_generated_tokens,direct CSV numeric column,"CSV value: number of generated tokens, if available; response length proxy.",False,model-specific zero/NaN pattern
source_perplexity,direct CSV numeric column,"CSV value: perplexity, if available; generation uncertainty proxy.",False,model-specific zero/NaN pattern
source_response_length,direct CSV numeric column,CSV value: response length in characters.,True,
source_sum_logprob,direct CSV numeric column,"CSV value: total token log probability, if available; confidence plus length proxy.",False,model-specific zero/NaN pattern
text_avg_sentence_chars,engineered from CSV response,Average sentence length in characters.,True,
text_avg_sentence_words,engineered from CSV response,Average sentence length in words.,True,
text_avg_word_frequency,engineered from CSV response,Average repetition count per used word.,True,
text_avg_word_length,engineered from CSV response,Average word length in characters.,True,
text_char_count,engineered from CSV response,Response length in characters recalculated from response text.,True,
text_code_fence_count,engineered from CSV response,Number of fenced code blocks marked with triple backticks.,True,
text_colon_density,engineered from CSV response,"Colons per character; often marks lists, explanations, or definitions.",True,
text_comma_density,engineered from CSV response,Commas per character; rough punctuation/complexity indicator.,True,
text_digit_density,engineered from CSV response,Digits per character; shows numerical/detail-heavy answers.,True,
text_entropy,engineered from CSV response,Lexical entropy; higher means word usage is more diverse/uniform.,True,
text_exclamation_mark_density,engineered from CSV response,Exclamation marks per character; emphasis/expressiveness proxy.,True,
text_first_person_pronoun_count,engineered from CSV response,Count of first-person words like I/we/ja/my.,True,
text_first_person_pronoun_density,engineered from CSV response,First-person words divided by total words.,True,
text_hapax_ratio,engineered from CSV response,Share of words appearing only once; lexical variety proxy.,True,
text_hedge_word_count,engineered from CSV response,Count of uncertainty words like maybe/could/chyba.,True,
text_hedge_word_density,engineered from CSV response,Uncertainty words divided by total words.,True,
text_list_marker_count,engineered from CSV response,Number of bullet or numbered-list markers.,True,
text_markdown_bold_count,engineered from CSV response,Number of bold markdown spans marked with **.,False,model-specific zero/NaN pattern
text_markdown_heading_count,engineered from CSV response,Number of markdown headings marked with #.,False,model-specific zero/NaN pattern
text_max_word_frequency,engineered from CSV response,Highest repetition count of a single word.,True,
text_negation_word_count,engineered from CSV response,Count of negation words like not/never/nie.,True,
text_negation_word_density,engineered from CSV response,Negation words divided by total words.,True,
text_newline_count,engineered from CSV response,Number of line breaks; formatting/structure proxy.,True,
text_paragraph_count,engineered from CSV response,Number of paragraph blocks.,True,
text_punctuation_count,engineered from CSV response,Total punctuation marks.,True,
text_punctuation_density,engineered from CSV response,Punctuation marks per character.,True,
text_question_mark_density,engineered from CSV response,Question marks per character.,False,model-specific zero/NaN pattern
text_repeated_bigram_ratio,engineered from CSV response,Share of repeated two-word phrases.,True,
text_repeated_trigram_ratio,engineered from CSV response,Share of repeated three-word phrases.,True,
text_repetition_rate,engineered from CSV response,One minus type-token ratio; higher means more repeated vocabulary.,True,
text_second_person_pronoun_count,engineered from CSV response,Count of second-person words like you/your/ty/wy.,True,
text_second_person_pronoun_density,engineered from CSV response,Second-person words divided by total words.,True,
text_semicolon_density,engineered from CSV response,Semicolons per character; complex punctuation indicator.,True,
text_sentence_count,engineered from CSV response,Number of detected sentences.,True,
text_type_token_ratio,engineered from CSV response,Unique words divided by total words; lexical diversity proxy.,True,
text_unique_word_count,engineered from CSV response,Number of distinct words.,True,
text_uppercase_word_ratio,engineered from CSV response,Uppercase words divided by total words; emphasis/acronym proxy.,True,
text_word_count,engineered from CSV response,Number of words in the response.,True,
