prompt_id;prompt_en;prompt_pl;paraphrase_en;paraphrase_pl;category
EXP_001;"Explain to a non-technical person why cloud storage does not eliminate the need for backups.";"Wyjaśnij osobie nietechnicznej, dlaczego przechowywanie plików w chmurze nie eliminuje potrzeby tworzenia kopii zapasowych.";"A person thinks that storing files in the cloud is enough protection. Explain why backups are still necessary.";"Pewna osoba uważa, że samo trzymanie plików w chmurze wystarcza. Wyjaśnij, dlaczego kopie zapasowe nadal są potrzebne.";"wyjaśniające"
EXP_002;"Explain to a high school student why lack of sleep reduces concentration and memory.";"Wyjaśnij uczniowi szkoły średniej, dlaczego brak snu pogarsza koncentrację i pamięć.";"Why does too little sleep make it harder to focus and remember things? Explain it to a teenager.";"Dlaczego zbyt mała ilość snu utrudnia skupienie i zapamiętywanie? Wyjaśnij to nastolatkowi.";"wyjaśniające"
EXP_003;"Explain in simple terms why correlation does not automatically mean causation.";"Wyjaśnij prostymi słowami, dlaczego korelacja nie oznacza automatycznie związku przyczynowego.";"Someone sees two things change together and assumes one causes the other. Explain why that may be wrong.";"Ktoś widzi, że dwie rzeczy zmieniają się razem i zakłada, że jedna powoduje drugą. Wyjaśnij, dlaczego to może być błędne.";"wyjaśniające"
EXP_004;"Explain why traffic jams can form even when there is no accident on the road.";"Wyjaśnij, dlaczego korki mogą tworzyć się nawet wtedy, gdy na drodze nie doszło do żadnego wypadku.";"How can a traffic jam appear without any crash or road closure? Explain it in an accessible way.";"Jak może powstać korek bez wypadku i bez zamknięcia drogi? Wyjaśnij to w przystępny sposób.";"wyjaśniające"
EXP_005;"Explain to a beginner investor why diversification lowers risk but cannot remove it completely.";"Wyjaśnij początkującemu inwestorowi, dlaczego dywersyfikacja zmniejsza ryzyko, ale nie usuwa go całkowicie.";"Why is spreading investments across assets helpful, but not a guarantee against losses? Explain it simply.";"Dlaczego rozłożenie inwestycji na różne aktywa pomaga, ale nie daje gwarancji braku strat? Wyjaśnij to prosto.";"wyjaśniające"
EXP_006;"Explain why antibiotics do not work against viruses.";"Wyjaśnij, dlaczego antybiotyki nie działają na wirusy.";"A person thinks antibiotics should help with any infection. Explain why they do not treat viral illnesses.";"Pewna osoba uważa, że antybiotyki powinny pomagać przy każdej infekcji. Wyjaśnij, dlaczego nie leczą chorób wirusowych.";"wyjaśniające"
EXP_007;"Explain why a random sample is usually more reliable than a convenient sample.";"Wyjaśnij, dlaczego losowa próba jest zwykle bardziej wiarygodna niż próba dobrana wygodnie.";"Why do researchers prefer random sampling over asking only the easiest people to reach? Explain in simple language.";"Dlaczego badacze wolą losowe próbkowanie zamiast pytania tylko osób najłatwiejszych do osiągnięcia? Wyjaśnij to prostym językiem.";"wyjaśniające"
EXP_008;"Explain to a non-expert why cache makes websites and applications faster.";"Wyjaśnij osobie bez wiedzy technicznej, dlaczego pamięć podręczna przyspiesza działanie stron i aplikacji.";"What does cache do, and why can it speed up software and websites? Explain it for a beginner.";"Co robi pamięć podręczna i dlaczego może przyspieszać działanie programów i stron? Wyjaśnij to początkującej osobie.";"wyjaśniające"
EXP_009;"Explain why the same air temperature can feel different on a dry day and a humid day.";"Wyjaśnij, dlaczego ta sama temperatura powietrza może być odczuwana inaczej w suchy i wilgotny dzień.";"Why can twenty-five degrees feel comfortable one day and exhausting on another day with the same reading? Explain it simply.";"Dlaczego dwadzieścia pięć stopni może jednego dnia być przyjemne, a innego męczące, mimo tego samego odczytu? Wyjaśnij to prosto.";"wyjaśniające"
EXP_010;"Explain why people often keep their beliefs even after seeing evidence against them.";"Wyjaśnij, dlaczego ludzie często trzymają się swoich przekonań nawet po zobaczeniu dowodów im przeczących.";"A person receives information that challenges their opinion but still does not change their mind. Explain why this happens.";"Ktoś dostaje informacje podważające jego opinię, ale nadal jej nie zmienia. Wyjaśnij, dlaczego tak się dzieje.";"wyjaśniające"
EXP_011;"Explain to a beginner why version control is useful even for a small software project.";"Wyjaśnij początkującej osobie, dlaczego kontrola wersji jest przydatna nawet w małym projekcie programistycznym.";"Someone writes code alone and thinks version control is unnecessary. Explain why it still matters.";"Ktoś programuje sam i uważa, że kontrola wersji nie jest potrzebna. Wyjaśnij, dlaczego nadal ma znaczenie.";"wyjaśniające"
EXP_012;"Explain why short term discounts can increase sales without necessarily increasing profit.";"Wyjaśnij, dlaczego krótkoterminowe obniżki cen mogą zwiększać sprzedaż, ale niekoniecznie zysk.";"A store sells more units after a discount, but that does not always mean it earns more money. Explain why.";"Sklep sprzedaje więcej sztuk po obniżce ceny, ale to nie zawsze znaczy, że zarabia więcej. Wyjaśnij dlaczego.";"wyjaśniające"
EXP_013;"Explain in simple language why a large language model can sound confident and still be wrong.";"Wyjaśnij prostym językiem, dlaczego duży model językowy może brzmieć pewnie, a mimo to się mylić.";"Why can an AI system give a fluent and confident answer that is still incorrect? Explain this for a general audience.";"Dlaczego system AI może udzielić płynnej i pewnej odpowiedzi, która nadal jest niepoprawna? Wyjaśnij to ogólnemu odbiorcy.";"wyjaśniające"
EXP_014;"Explain why a team can look efficient in the short term while creating long term problems.";"Wyjaśnij, dlaczego zespół może wyglądać na efektywny w krótkim terminie, a jednocześnie tworzyć problemy długoterminowe.";"How can strong short term performance hide future issues inside a team? Explain in an accessible way.";"Jak dobre wyniki krótkoterminowe mogą ukrywać przyszłe problemy w zespole? Wyjaśnij to w przystępny sposób.";"wyjaśniające"
EXP_015;"Explain to a student why measuring the wrong metric can lead to bad decisions.";"Wyjaśnij studentowi, dlaczego mierzenie niewłaściwej metryki może prowadzić do złych decyzji.";"A person tracks a number very carefully, but it does not reflect the real goal. Explain why this is dangerous.";"Ktoś bardzo dokładnie śledzi pewną liczbę, ale ona nie odzwierciedla prawdziwego celu. Wyjaśnij, dlaczego to jest niebezpieczne.";"wyjaśniające"
EXP_016;"Explain to a high school student why lack of sleep reduces concentration and memory.";"Wyjaśnij uczniowi szkoły średniej, dlaczego brak snu pogarsza koncentrację i pamięć.";"Why does too little sleep make it harder to focus and remember things? Explain it to a teenager.";"Dlaczego zbyt mała ilość snu utrudnia skupienie i zapamiętywanie? Wyjaśnij to nastolatkowi.";"wyjaśniające"
EXP_017;"Explain to a non-expert why cache makes websites and applications faster.";"Wyjaśnij osobie bez wiedzy technicznej, dlaczego pamięć podręczna przyspiesza działanie stron i aplikacji.";"What does cache do, and why can it speed up software and websites? Explain it for a beginner.";"Co robi pamięć podręczna i dlaczego może przyspieszać działanie programów i stron? Wyjaśnij to początkującej osobie.";"wyjaśniające"
EXP_018;"Explain why the same air temperature can feel different on a dry day and a humid day.";"Wyjaśnij, dlaczego ta sama temperatura powietrza może być odczuwana inaczej w suchy i wilgotny dzień.";"Why can twenty-five degrees feel comfortable one day and exhausting on another day with the same reading? Explain it simply.";"Dlaczego dwadzieścia pięć stopni może jednego dnia być przyjemne, a innego męczące, mimo tego samego odczytu? Wyjaśnij to prosto.";"wyjaśniające"
EXP_019;"Explain why people often keep their beliefs even after seeing evidence against them.";"Wyjaśnij, dlaczego ludzie często trzymają się swoich przekonań nawet po zobaczeniu dowodów im przeczących.";"A person receives information that challenges their opinion but still does not change their mind. Explain why this happens.";"Ktoś dostaje informacje podważające jego opinię, ale nadal jej nie zmienia. Wyjaśnij, dlaczego tak się dzieje.";"wyjaśniające"
