feature,eta_squared_model_key,mutual_information_model_key,max_abs_model_mean_z,unique_values,per_model_means,review_flag
text_markdown_heading_count,0.7199151831690649,0.44971770352455653,1.4692280400448783,15,"{""gemini-flash-latest"": 5.295833333333333, ""llama-3.1-8b-groq"": 0.10416666666666667, ""mistral-7b-hf"": 0.0, ""phi-3-mini-hf"": 0.13958333333333334}",strong_model_signal
source_avg_logprob,0.570425448152863,0.8992650011493908,1.2454458889814384,961,"{""gemini-flash-latest"": -0.1561415, ""llama-3.1-8b-groq"": -0.1561415, ""mistral-7b-hf"": -0.12085463125000001, ""phi-3-mini-hf"": -0.24791979583333335}",strong_model_signal
source_perplexity,0.5611043955663744,0.9014365577234214,1.245486015558381,961,"{""gemini-flash-latest"": 1.1689919999999998, ""llama-3.1-8b-groq"": 1.1689919999999998, ""mistral-7b-hf"": 1.128919725, ""phi-3-mini-hf"": 1.28511130625}",strong_model_signal
text_punctuation_density,0.5220773408476566,0.5064767847175691,1.102147040472114,1862,"{""gemini-flash-latest"": 0.06684792595394165, ""llama-3.1-8b-groq"": 0.0453344293608615, ""mistral-7b-hf"": 0.027713123331628793, ""phi-3-mini-hf"": 0.024130933834485373}",strong_model_signal
text_markdown_bold_count,0.46581757507363625,0.3970968646736315,1.0319380495157224,47,"{""gemini-flash-latest"": 17.18125, ""llama-3.1-8b-groq"": 9.197916666666666, ""mistral-7b-hf"": 0.8854166666666666, ""phi-3-mini-hf"": 2.1}",
source_generated_tokens,0.4233700586430544,0.7517314749454647,1.036337436375052,593,"{""gemini-flash-latest"": 0.0, ""llama-3.1-8b-groq"": 0.0, ""mistral-7b-hf"": 481.07916666666665, ""phi-3-mini-hf"": 1221.7770833333334}",
text_newline_count,0.3261010985007219,0.24084386852909345,0.9228704003074075,90,"{""gemini-flash-latest"": 40.16041666666667, ""llama-3.1-8b-groq"": 22.8625, ""mistral-7b-hf"": 12.56875, ""phi-3-mini-hf"": 13.891666666666667}",
text_punctuation_count,0.3177951827904125,0.3245313443939364,0.9388393558132596,403,"{""gemini-flash-latest"": 234.21458333333334, ""llama-3.1-8b-groq"": 100.92916666666666, ""mistral-7b-hf"": 49.675, ""phi-3-mini-hf"": 89.80625}",
text_paragraph_count,0.3109325709279684,0.18840144452743424,0.8951543663889027,29,"{""gemini-flash-latest"": 12.74375, ""llama-3.1-8b-groq"": 7.985416666666667, ""mistral-7b-hf"": 5.372916666666667, ""phi-3-mini-hf"": 4.9375}",
text_hapax_ratio,0.28092953673000254,0.3695653895100355,0.7987287001414353,1776,"{""gemini-flash-latest"": 0.47940535527819617, ""llama-3.1-8b-groq"": 0.3525041900050575, ""mistral-7b-hf"": 0.4910575909124162, ""phi-3-mini-hf"": 0.6624756687657393}",
text_sentence_count,0.2640269687499552,0.20029264649595868,0.8689956688857895,87,"{""gemini-flash-latest"": 38.704166666666666, ""llama-3.1-8b-groq"": 22.23125, ""mistral-7b-hf"": 17.383333333333333, ""phi-3-mini-hf"": 17.991666666666667}",
